Element	actin cytoskeleton reorganization	angiogenesis	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	p38mapk cascade	platelet activation	platelet degranulation	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	thromboxan synthesis	vasoconstriction	vasodilation
m14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4	0,0909090909090909	0,1	0,0909090909090909	0,0909090909090909	0,0909090909090909	0,0625	0,1	0,0909090909090909	0,0769230769230769	0,0833333333333333	0,0666666666666667	0,333333333333333	0,25	0,0909090909090909	0,142857142857143	0,1	0	0	0,0833333333333333	0	0	0,1	0,0625	0,142857142857143	0,0909090909090909	0,25	0	0,0714285714285714	0	0,2	0,0833333333333333	0,0833333333333333
m30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m22	0,0909090909090909	0,1	0,0909090909090909	0,0909090909090909	0,0909090909090909	0,0625	0,1	0,0909090909090909	0,0769230769230769	0,0833333333333333	0,0666666666666667	0,0833333333333333	0,25	0,0909090909090909	0,142857142857143	0,1	0	0	0,0833333333333333	0	0	0,1	0,0625	0,142857142857143	0,0909090909090909	0,0833333333333333	0	0,0714285714285714	0	0,0769230769230769	0,0833333333333333	0,0833333333333333
m20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m19	0,1	0,111111111111111	0,1	0,1	0,1	0,0666666666666667	0,111111111111111	0,1	0,0833333333333333	0,0909090909090909	0,0714285714285714	0,0909090909090909	0,333333333333333	0,1	0,166666666666667	0,111111111111111	0	0	0,0909090909090909	0	0	0,111111111111111	0,0666666666666667	0,166666666666667	0,1	0,0909090909090909	0	0,0769230769230769	0	0,0833333333333333	0,0909090909090909	0,0909090909090909
m18	0,111111111111111	0,125	0,111111111111111	0,111111111111111	0,111111111111111	0,0714285714285714	0,125	0,111111111111111	0,0909090909090909	0,1	0,0769230769230769	0,1	0,5	0,111111111111111	0,2	0,125	0	0	0,1	0	0	0,125	0,0714285714285714	0,2	0,111111111111111	0,1	0	0,0833333333333333	0	0,0909090909090909	0,1	0,1
m51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
