#Transcriptomic changes in joint tissues during the development of osteoarthritis (OA) are of interest for the discovery of biomarkers and mechanisms of disease. The objective of this study was to use the rat medial meniscus transection (MMT) model to discover stage and tissue-specific transcriptomic changes. Sham or MMT surgeries were performed in mature rats. Cartilage, menisci and synovium were scored for histopathological changes at 2, 4 and 6 weeks post-surgery and processed for RNA-sequencing. Differentially expressed genes (DEG) were used to identify pathways and mechanisms. Published transcriptomic datasets from animal models and human OA were used to confirm and extend present findings. The total number of DEGs was already high at 2 weeks (723 in meniscus), followed by cartilage (259) and synovium (42) and declined to varying degrees in meniscus and synovium but increased in cartilage at 6 weeks. The most upregulated genes included tenascins. The 'response to mechanical stimulus' and extracellular matrix-related pathways were enriched in both cartilage and meniscus. Pathways that were enriched in synovium at 4 weeks indicate processes related to synovial hyperplasia and fibrosis. Synovium also showed upregulation of IL-11 and several MMPs. The mechanical stimulus pathway included upregulation of the mechanoreceptors PIEZO1, PIEZO2 and TRPV4 and nerve growth factor. Analysis of data from prior RNA-sequencing studies of animal models and human OA support these findings. These results indicate several shared pathways that are affected during OA in cartilage and meniscus and support the role of mechanotransduction and other pathways in OA pathogenesis.
gene	cartilage 2-week	cartilage 2-week p-value	cartilage 4-week	cartilage 4-week p-value	cartilage 6-week	cartilage 6-week p-value	meniscus 2-week	meniscus 2-week p-value	meniscus 4-week	meniscus 4-week p-value	meniscus 6-week	meniscus 6-week p-value	synovium 2-week	synovium 2-week p-value	synovium 4-week	synovium 4-week p-value	synovium 6-week	synovium 6-week p-value
Adgrf5	0.0	1.0	0.0	1.0	0.0	1.0	-0.681735334	0.00051107	-0.969805811	2.6388e-09	-0.789710233	7.30508e-07	0.0	1.0	0.0	1.0	0.0	1.0
Adgrg2	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.02550652	7.07287e-05	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Adgrg6	0.480095937	0.024237591	0.0	1.0	0.721949523	0.000137587	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Adgrl4	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.476657296	0.048240468	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Adhfe1	0.0	1.0	-1.35230788	4.38901e-06	-1.155721766	0.000148754	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Adipoq	1.919107223	0.042499032	0.0	1.0	0.0	1.0	-1.727743204	0.000554551	0.0	1.0	-2.783720334	1.04893e-07	0.0	1.0	0.0	1.0	-1.633921992	0.004697896
Adm	0.0	1.0	0.0	1.0	1.06125514	0.031889008	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Adra2a	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.781357989	0.040421126	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Adrb3	0.0	1.0	0.0	1.0	0.0	1.0	-2.124458645	0.007337379	0.0	1.0	-1.974164652	0.018698573	0.0	1.0	0.0	1.0	-1.626417205	0.016242077
Adss	0.0	1.0	0.0	1.0	0.0	1.0	0.452373308	0.029101304	0.0	1.0	0.452296803	0.025713948	0.0	1.0	0.0	1.0	0.0	1.0
Adssl1	0.0	1.0	-1.543349648	0.046062413	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Aebp1	0.60061916	0.023703697	0.90255994	4.19842e-07	0.864726466	6.08171e-08	1.123360482	5.62981e-30	0.636436862	4.6852e-07	0.507876188	0.000217611	0.0	1.0	0.622017999	0.000340131	0.643144252	8.73867e-09
Agmo	0.0	1.0	0.0	1.0	0.0	1.0	-2.161694853	0.025416606	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Agrn	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.752354561	0.003640143	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Agt	0.0	1.0	0.0	1.0	0.0	1.0	-1.15375899	1.78697e-10	-1.507567689	3.20111e-11	-0.860656298	4.11723e-06	0.0	1.0	0.0	1.0	-1.334782039	8.82469e-07
Agtpbp1	-0.523344647	0.019637084	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Agtr1a	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.604928797	0.004164593	0.0	1.0	0.0	1.0	0.0	1.0
Ahsp	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.896854169	0.008555039	0.0	1.0	0.0	1.0	0.0	1.0
Akap12	0.0	1.0	0.0	1.0	0.0	1.0	-0.838227349	0.000104777	0.0	1.0	-0.714134915	0.001011087	0.0	1.0	0.0	1.0	0.0	1.0
Akap2	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.660775775	0.001347666	-0.504762261	0.026951418	0.0	1.0	0.0	1.0	0.0	1.0
Akr1b8	0.0	1.0	0.0	1.0	0.0	1.0	1.32020362	0.044857466	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Akr1c14	0.0	1.0	0.0	1.0	0.0	1.0	-0.833603797	0.043121151	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Akr1c19	0.0	1.0	0.0	1.0	0.0	1.0	-1.213436098	0.020120639	-1.901241479	0.000937019	-1.444443549	0.031945464	0.0	1.0	0.0	1.0	0.0	1.0
Akr7a2	0.0	1.0	0.0	1.0	0.0	1.0	0.98069121	1.89974e-07	0.622411777	0.024235894	0.649322512	0.000786926	0.0	1.0	0.0	1.0	0.0	1.0
Alad	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.626231797	0.026252102	0.0	1.0	0.0	1.0	0.0	1.0
Aldh1a3	2.463253025	6.31366e-08	2.529485783	4.71158e-11	2.065612258	2.18151e-06	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
