Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m5764	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
m1825	4	3	3	1	4	2	3	3	4	0	3	0	0	0	0	0	0	1	2	2	0	2	2	0	3	3	0	4	1	1	2	0	4	0	0	1	0	1	0	1	1
m4475	1	0	2	1	1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	2	1	0	2	2	0	2	0	0	2	0	1	0	0	1	0	1	0	0	0
m5386	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
m6204	3	0	1	0	3	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	1	0	1	1	1	1	0	4	0	0	0	0	0	0	1	1
m5844	2	1	3	4	2	3	1	1	2	1	1	1	1	1	1	0	0	1	2	3	0	3	3	0	2	3	0	3	2	2	2	0	4	0	0	1	0	1	0	2	2
m6379	2	1	1	0	2	1	1	1	2	0	1	0	0	0	0	0	0	2	2	1	0	1	1	0	1	1	0	1	0	0	1	0	2	0	0	2	0	2	0	0	0
m6095	1	0	2	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	2	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0
m587	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	27	27	0	1	1	0	28	0	0	1	0	0	0	0	0	0	0	0	0	0
m5952	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m7187	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m6185	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
