Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m6253	0.2	0.25	0.166666666666667	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.25	0.166666666666667	0.166666666666667	0.2	0.125	0.1	0.142857142857143	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.166666666666667	0.142857142857143	0.166666666666667	0.166666666666667	0.2	0.166666666666667	0.166666666666667	0.25	0	0.2	0.25	0.2	0	0.166666666666667	0.142857142857143	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6259	0.2	0.333333333333333	0.25	0.2	0.2	0.25	0.25	0.2	0.166666666666667	0.111111111111111	0.25	0.25	0.2	0.166666666666667	0.142857142857143	0.0909090909090909	0.125	0.2	0.166666666666667	0.2	0.142857142857143	0.2	0.142857142857143	0.166666666666667	0.25	0.2	0.2	0.2	0.166666666666667	0.25	0	0.2	0.25	0.166666666666667	0	0.166666666666667	0.142857142857143	0.25	0.142857142857143	0.2	0.2
m6260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6261	0.142857142857143	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.0909090909090909	0.166666666666667	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.111111111111111	0.142857142857143	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.125	0.166666666666667	0.142857142857143	0.166666666666667	0.166666666666667	0.142857142857143	0.25	0	0.166666666666667	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6262	0.142857142857143	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.0833333333333333	0.166666666666667	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.111111111111111	0.125	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.111111111111111	0.142857142857143	0.142857142857143	0.166666666666667	0.166666666666667	0.142857142857143	0.25	0	0.166666666666667	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6263	0.166666666666667	0.25	0.2	0.2	0.2	0.166666666666667	0.2	0.2	0.166666666666667	0.0909090909090909	0.25	0.2	0.142857142857143	0.166666666666667	0.125	0.0909090909090909	0.125	0.142857142857143	0.142857142857143	0.2	0.142857142857143	0.2	0.142857142857143	0.125	0.166666666666667	0.142857142857143	0.166666666666667	0.2	0.2	0.25	0	0.2	0.2	0.166666666666667	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6264	0.142857142857143	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.0833333333333333	0.166666666666667	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.111111111111111	0.125	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.111111111111111	0.142857142857143	0.142857142857143	0.166666666666667	0.166666666666667	0.142857142857143	0.25	0	0.166666666666667	0.25	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6265	0.2	0.5	0.2	0.2	0.2	0.2	0.333333333333333	0.25	0.2	0.111111111111111	0.25	0.166666666666667	0.166666666666667	0.2	0.166666666666667	0.1	0.142857142857143	0.166666666666667	0.2	0.25	0.166666666666667	0.25	0.166666666666667	0.142857142857143	0.2	0.166666666666667	0.2	0.166666666666667	0.166666666666667	0.25	0	0.25	0.2	0.2	0	0.2	0.166666666666667	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6266	0.166666666666667	0.25	0.25	0.2	0.2	0.2	0.2	0.2	0.166666666666667	0.1	0.25	0.2	0.166666666666667	0.166666666666667	0.125	0.0909090909090909	0.125	0.166666666666667	0.142857142857143	0.25	0.142857142857143	0.2	0.142857142857143	0.142857142857143	0.25	0.166666666666667	0.166666666666667	0.2	0.2	0.25	0	0.2	0.2	0.166666666666667	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6267	0.25	0.25	0.166666666666667	0.166666666666667	0.25	0.166666666666667	0.2	0.2	0.25	0.0909090909090909	0.2	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.111111111111111	0.142857142857143	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.125	0.2	0.2	0.166666666666667	0.2	0.166666666666667	0.25	0	0.2	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6268	0.142857142857143	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.0833333333333333	0.166666666666667	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.111111111111111	0.125	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.111111111111111	0.142857142857143	0.142857142857143	0.166666666666667	0.166666666666667	0.142857142857143	0.25	0	0.166666666666667	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6269	0.166666666666667	0.333333333333333	0.2	0.166666666666667	0.166666666666667	0.2	0.25	0.2	0.142857142857143	0.1	0.2	0.2	0.166666666666667	0.166666666666667	0.125	0.0909090909090909	0.111111111111111	0.166666666666667	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.142857142857143	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.25	0	0.166666666666667	0.2	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
