Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m93	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	1	0	0	0	0	0	0	0	0	0
m94	0	0	0	0	0.333333333333333	0.25	0	0.25	0	0.5	0	0	0	0	0	0	0	0	0
m97	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m98	0.125	0.111111111111111	0.166666666666667	0	0.5	0.333333333333333	0	0.333333333333333	0.111111111111111	0.333333333333333	0.142857142857143	0.166666666666667	0.111111111111111	0.111111111111111	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m99	0	0	0	0	0.333333333333333	0.25	0	0.25	0	0.5	0	0	0	0	0	0	0	0	0
m100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m101	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
m102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m109	0	0	0	0	0.333333333333333	0.5	1	0.25	0	0.25	0	0	0	0	0	0	0	0	0
m105	0	0	0	0	0.5	1	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m110	0	0	0	0	0.5	0.5	0.25	0.333333333333333	0	0.333333333333333	0	0	0	0	0.333333333333333	0.5	0	0	0
m112	0	0	0	1	0.25	0.333333333333333	0.5	0.2	0	0.2	0	0	0	0	0	0	0	0	0
m113	0	0	0	0	0.25	0.333333333333333	0.5	0.2	0	0.2	0	0	0	0	0	0	0	0	0
m135	0	0	0	0.5	0.2	0.25	0.333333333333333	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0
m142	0	0	0	0.5	0.2	0.25	0.333333333333333	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0
m80	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m116	0	0	0	0	0.5	0.333333333333333	0	1	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m123	0	0	0	0	0.333333333333333	0.25	0	0.5	0	0.25	0	0	0	0	0	0	0	0	0
m117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m119	0	0	0	0	0.333333333333333	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0
