Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	cheparon mediated autophagy	er stress	fabry disease	farber disease	gaucher disease	gaucher disease type-1	gaucher disease type-2	gaucher disease type-3	gm1 gangliosidosis	krabbe disease	macroautophagy	mitochondrial dysfunction	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	ubiquitin-dependent proteasomal degradation	unfolded protein response
m422	0	0	4	0	0	0	4	4	0	0	0	0	4	0	4	3	4	0	0	3	3	0	0	0	0
m426	0	0	32	0	0	0	50	43	0	0	0	0	50	0	43	17	50	0	0	17	17	0	0	0	0
m428	0	0	29	0	0	0	40	34	0	0	0	0	40	0	28	15	40	0	0	15	15	0	0	0	0
m430	0	0	0	0	0	0	48	44	0	0	0	0	48	34	44	0	48	0	0	0	0	0	0	0	0
m450	0	0	39	0	0	0	51	49	0	0	0	0	51	0	41	0	51	0	0	0	0	0	0	0	0
m452	0	0	52	0	0	0	68	64	0	0	0	0	68	0	56	0	68	0	0	0	0	0	0	30	0
m453	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
m454	0	0	8	0	0	0	15	13	0	0	0	0	15	0	13	0	15	0	0	0	0	0	0	4	0
m461	0	0	5	0	0	0	8	7	0	0	0	0	8	8	0	6	8	0	0	6	6	0	0	0	0
m466	0	0	2	0	0	0	3	3	0	0	0	0	3	2	2	0	3	0	0	0	0	0	0	0	0
m174	0	0	0	0	0	0	37	25	0	0	0	0	37	0	31	0	37	0	0	0	0	0	0	0	0
m471	0	0	4	0	0	0	6	6	0	0	0	0	6	5	4	2	6	0	0	2	2	0	0	0	3
m480	0	0	5	0	4	0	9	0	0	0	0	0	9	4	0	0	9	0	0	0	0	0	0	0	4
m490	0	0	52	25	0	0	100	84	0	0	0	0	100	94	86	0	100	0	0	0	0	0	0	39	0
m492	0	0	0	0	0	0	9	8	0	0	0	0	9	5	0	0	9	0	0	0	0	0	0	0	0
m498	0	0	6	0	0	0	6	6	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0
m504	0	0	4	0	0	0	5	4	0	0	0	0	5	3	0	0	5	0	0	0	0	0	0	0	0
m519	0	0	3	0	0	0	5	5	0	0	0	0	5	0	0	1	5	0	0	1	1	0	0	0	0
m522	0	0	56	0	49	0	65	27	0	0	0	0	65	57	56	49	65	0	0	49	49	0	0	0	49
m523	0	0	8	0	0	0	9	7	0	0	0	0	9	0	5	6	9	0	0	6	6	0	0	0	0
m524	0	0	5	0	0	0	6	2	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0
m382	0	0	0	0	4	0	6	0	0	0	0	0	6	3	5	0	6	0	0	0	0	0	0	0	4
m383	0	0	32	0	0	0	43	39	0	0	0	0	43	0	0	0	43	0	0	0	0	0	0	0	0
m531	0	0	31	0	0	0	41	37	0	0	0	0	41	0	31	0	41	0	0	0	0	0	0	0	0
m170	0	0	29	0	0	0	39	24	0	0	0	0	39	0	10	0	39	0	0	0	0	0	0	0	0
m533	0	0	35	9	16	0	54	44	0	0	0	0	54	40	41	18	54	0	0	18	18	0	0	0	23
m535	0	0	5	0	0	0	5	5	0	0	0	0	5	5	0	0	5	0	0	0	0	0	0	0	0
m539	0	0	3	0	0	0	4	3	0	0	0	0	4	2	0	0	4	0	0	0	0	0	0	0	0
m561	0	0	7	0	0	0	6	6	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0
m571	0	0	13	0	0	0	19	17	0	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0
m578	0	0	12	0	0	0	19	18	0	0	0	0	19	14	14	0	19	0	0	0	0	0	0	7	0
m581	0	0	0	0	0	0	8	8	0	0	0	0	8	0	7	0	8	0	0	0	0	0	0	0	0
