Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	metachromatic leukodystrophy	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sandhoff disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m6469	0.142857142857143	0.125	0.166666666666667	0	0	0	0	0	0	0.125	0	0.166666666666667	0.2	0.125	0.125	0	0	0.2	0.2	0.2
m6470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6481	0.125	0.111111111111111	0.166666666666667	0	0	0	0	0	0	0.111111111111111	0	0.142857142857143	0.166666666666667	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m6482	0.1	0.0909090909090909	0.142857142857143	0	0	0	0	0	0	0.111111111111111	0	0.111111111111111	0.125	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m6483	0.125	0.111111111111111	0.166666666666667	0	0	0	0	0	0	0.125	0	0.142857142857143	0.166666666666667	0.125	0.125	0	0	0.166666666666667	0.166666666666667	0.166666666666667
