Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	metachromatic leukodystrophy	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sandhoff disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m3849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m83	7	7	7	0	0	0	0	0	0	7	0	7	7	7	7	0	0	0	0	0
m4171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m64	3	3	3	0	0	0	0	0	0	3	0	3	3	3	3	0	0	0	0	0
m4198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m101	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m108	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m5156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m81	3	3	3	0	0	0	0	0	0	3	0	3	3	3	3	0	0	0	0	0
m4547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
