Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m535	0	0	0	0	0	0
m536	0	0	0	0	0	0
m537	0	0	0	0	0	0
m538	0	0	0	0	0	0
m539	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m540	0	0	0	0	0	0
m541	0	0	0	0	0	0
m542	0	0	0	0	0	0
m543	0	0	0	0	0	0
m544	0	0	0	0	0	0
m545	0	0	0	0	0	0
m211	0	0	0	0	0	0
m546	0	0	0	0	0	0
m547	0	0	0	0	0	0
m548	0	0	0	0	0	0
m549	0	0	0	0	0	0
m550	0	0	0	0	0	0
m551	0	0	0	0	0	0
m552	0	0	0	0	0	0
m553	0	0	0	0	0	0
m554	0	0	0	0	0	0
m555	0	0	0	0	0	0
m556	0	0	0	0	0	0
m557	0	0	0	0	0	0
m558	0	0	0	0	0	0
m559	0	0	0	0	0	0
m560	0	0	0	0	0	0
m561	0	0	0	0	0	0
m562	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m563	0	0	0	0	0	0
m564	0	0	0	0	0	0
m565	0	0	0	0	0	0
m566	0	0	0	0	0	0
m567	0	0	0	0	0	0
m568	0	0	0	0	0	0
m569	0	0	0	0	0	0
m570	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m576	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m578	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m579	0	0	0	0	0	0
m580	0	0	0	0	0	0
m581	0	0	0	0	0	0
m583	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m587	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m588	0	0	0	0	0	0
m589	0	0	0	0	0	0
m590	0	0	0	0	0	0
m591	0	0	0	0	0	0
m595	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m596	0	0	0	0	0	0
m585	0	0	0	0	0	0
m597	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m598	0	0	0	0	0	0
m599	0	0	0	0	0	0
m600	0	0	0	0	0	0
m601	0	0	0	0	0	0
m602	0	0	0	0	0	0
m603	0	0	0	0	0	0
m604	0	0	0	0	0	0
m605	0	0	0	0	0	0
m606	0	0	0	0	0	0
m607	0	0	0	0	0	0
m608	0	0	0	0	0	0
m609	0	0	0	0	0	0
m610	0	0	0	0	0	0
m611	0	0	0	0	0	0
m612	0	0	0	0	0	0
m613	0	0	0	0	0	0
m614	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m615	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m616	0	0	0	0	0	0
m617	0	0	0	0	0	0
m618	0	0	0	0	0	0
m619	0	0	0	0	0	0
m620	0	0	0	0	0	0
m621	0	0	0	0	0	0
m622	0	0	0	0	0	0
m623	0	0	0	0	0	0
m624	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m625	0	0	0	0	0	0
m626	0	0	0	0	0	0
m627	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m628	0	0	0	0	0	0
m629	0	0	0	0	0	0
m634	0	0	0	0	0	0
m635	0	0	0	0	0	0
m636	0	0	0	0	0	0
m637	0	0	0	0	0	0
m638	0	0	0	0	0	0
m639	0	0	0	0	0	0
m640	0	0	0	0	0	0
m641	0	0	0	0	0	0
m642	0	0	0	0	0	0
m643	0	0	0	0	0	0
m572	0	0	0	0	0	0
m644	0	0	0	0	0	0
m645	0	0	0	0	0	0
m646	0	0	0	0	0	0
m647	0	0	0	0	0	0
m648	0	0	0	0	0	0
m649	0	0	0	0	0	0
m650	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m651	0	0	0	0	0	0
m652	0	0	0	0	0	0
m653	0	0	0	0	0	0
m375	0	0	0	0	0	0
m654	0	0	0	0	0	0
m655	0	0	0	0	0	0
m656	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m657	0	0	0	0	0	0
m631	0	0	0	0	0	0
m658	0	0	0	0	0	0
m659	0	0	0	0	0	0
m660	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m661	0	0	0	0	0	0
m662	0	0	0	0	0	0
m663	0	0	0	0	0	0
m664	0.111111111111111	0.1	0	0.1	0.0909090909090909	0.1
m665	0	0	0	0	0	0
m666	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m667	0	0	0	0	0	0
m668	0	0	0	0	0	0
m669	0	0	0	0	0	0
m670	0	0	0	0	0	0
m671	0	0	0	0	0	0
m672	0	0	0	0	0	0
m673	0	0	0	0	0	0
m674	0	0	0	0	0	0
m675	0	0	0	0	0	0
m676	0	0	0	0	0	0
m677	0	0	0	0	0	0
m678	0	0	0	0	0	0
m679	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m680	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m681	0	0	0	0	0	0
m682	0	0	0	0	0	0
m683	0	0	0	0	0	0
m684	0	0	0	0	0	0
m685	0	0	0	0	0	0
m686	0	0	0	0	0	0
m691	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m703	0	0	0	0	0	0
m704	0	0	0	0	0	0
m705	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667
m706	0.1	0.0909090909090909	0	0.0909090909090909	0.0833333333333333	0.0909090909090909
m707	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m708	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m709	0	0	0	0	0	0
m710	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m711	0	0	0	0	0	0
m712	0	0	0	0	0	0
m714	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m715	0	0	0	0	0	0
m716	0	0	0	0	0	0
m717	0	0	0	0	0	0
m718	0	0	0	0	0	0
m719	0	0	0	0	0	0
m720	0	0	0	0	0	0
m721	0	0	0	0	0	0
m722	0	0	0	0	0	0
m723	0	0	0	0	0	0
m724	0	0	0	0	0	0
m725	0	0	0	0	0	0
m726	0	0	0	0	0	0
m727	0	0	0	0	0	0
m728	0	0	0	0	0	0
m729	0	0	0	0	0	0
m730	0	0	0	0	0	0
m731	0	0	0	0	0	0
m733	0	0	0	0	0	0
m734	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m736	0	0	0	0	0	0
m738	0	0	0	0	0	0
m739	0	0	0	0	0	0
m740	0	0	0	0	0	0
m741	0	0	0	0	0	0
m742	0	0	0	0	0	0
m743	0	0	0	0	0	0
m744	0	0	0	0	0	0
m745	0	0	0	0	0	0
m746	0	0	0	0	0	0
m747	0	0	0	0	0	0
m748	0	0	0	0	0	0
m749	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m751	0	0	0	0	0	0
m752	0	0	0	0	0	0
m753	0	0	0	0	0	0
m754	0.2	0.166666666666667	0	0.166666666666667	0.142857142857143	0.166666666666667
m755	0	0	0	0	0	0
m756	0	0	0	0	0	0
m757	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m760	0	0	0	0	0	0
m761	0	0	0	0	0	0
m762	0	0	0	0	0	0
m763	0	0	0	0	0	0
m764	0	0	0	0	0	0
m765	0	0	0	0	0	0
m766	0	0	0	0	0	0
m767	0.125	0.111111111111111	0	0.111111111111111	0.1	0.111111111111111
m768	0	0	0	0	0	0
m769	0	0	0	0	0	0
m770	0	0	0	0	0	0
m771	0	0	0	0	0	0
m772	0	0	0	0	0	0
m773	0	0	0	0	0	0
m774	0	0	0	0	0	0
m775	0	0	0	0	0	0
m776	0	0	0	0	0	0
m777	0	0	0	0	0	0
m778	0	0	0	0	0	0
m779	0	0	0	0	0	0
m780	0	0	0	0	0	0
m781	0.142857142857143	0.125	0	0.125	0.111111111111111	0.125
m782	0	0	0	0	0	0
m783	0	0	0	0	0	0
m784	0	0	0	0	0	0
m785	0	0	0	0	0	0
m786	0	0	0	0	0	0
m787	0	0	0	0	0	0
m788	0	0	0	0	0	0
m789	0	0	0	0	0	0
m790	0	0	0	0	0	0
m791	0	0	0	0	0	0
m792	0	0	0	0	0	0
m347	0	0	0	0	0	0
m793	0	0	0	0	0	0
m800	0	0	0	0	0	0
m801	0	0	0	0	0	0
m802	0	0	0	0	0	0
