Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m806	8.83333333333333	8.83333333333333	0	8.83333333333333	8.83333333333333	8.83333333333333
m807	0	0	0	0	0	0
m808	0	0	0	0	0	0
m759	0	0	0	0	0	0
m809	0	0	0	0	0	0
m810	0	0	0	0	0	0
m811	7.02619047619048	7.02619047619048	0	7.02619047619048	7.02619047619048	7.02619047619048
m812	0	0	0	0	0	0
m813	0	0	0	0	0	0
m814	1	1	0	1	1	1
m815	0	0	0	0	0	0
m816	0	0	0	0	0	0
m817	0	0	0	0	0	0
m818	0	0	0	0	0	0
m819	0	0	0	0	0	0
m820	0	0	0	0	0	0
m821	0	0	0	0	0	0
m822	0	0	0	0	0	0
m823	0	0	0	0	0	0
m824	0	0	0	0	0	0
m825	0	0	0	0	0	0
m826	0	0	0	0	0	0
m827	0	0	0	0	0	0
m830	0.666666666666667	0.666666666666667	0	0.666666666666667	0.666666666666667	0.666666666666667
m831	0	0	0	0	0	0
m832	0	0	0	0	0	0
m833	0	0	0	0	0	0
m834	2.5	2.5	0	2.5	2.5	2.5
m835	0	0	0	0	0	0
m836	0	0	0	0	0	0
m837	0	0	0	0	0	0
m838	0	0	0	0	0	0
m839	0	0	0	0	0	0
m840	0	0	0	0	0	0
m841	0	0	0	0	0	0
m842	0	0	0	0	0	0
m843	0	0	0	0	0	0
m210	0	0	0	0	0	0
m844	0	0	0	0	0	0
m845	0	0	0	0	0	0
m846	0	0	0	0	0	0
m847	0	0	0	0	0	0
m848	0	0	0	0	0	0
m849	0	0	0	0	0	0
m850	0	0	0	0	0	0
m851	0	0	0	0	0	0
m852	0	0	0	0	0	0
m853	0	0	0	0	0	0
m854	0	0	0	0	0	0
m855	0	0	0	0	0	0
m856	0	0	0	0	0	0
m857	0	0	0	0	0	0
m858	0	0	0	0	0	0
m859	0	0	0	0	0	0
m860	0	0	0	0	0	0
m861	0	0	0	0	0	0
m862	0	0	0	0	0	0
m863	0	0	0	0	0	0
m864	0	0	0	0	0	0
m865	0	0	0	0	0	0
